loading previous zp-ontology...
Jul 05, 2017 5:37:07 PM de.charite.zpgen.ZPIDDB <init>
INFO: 18461 previous ids recovered
wrong format for entry ZDB-GENE-060126-1 expected normal/abnormal, found 'ameliorated'
wrong format for entry ZDB-GENE-980526-221 expected normal/abnormal, found 'ameliorated'
wrong format for entry ZDB-GENE-980526-221 expected normal/abnormal, found 'ameliorated'
wrong format for entry ZDB-GENE-980526-221 expected normal/abnormal, found 'ameliorated'
wrong format for entry ZDB-GENE-980526-221 expected normal/abnormal, found 'ameliorated'
wrong format for entry ZDB-GENE-980526-221 expected normal/abnormal, found 'ameliorated'
wrong format for entry ZDB-GENE-980526-221 expected normal/abnormal, found 'ameliorated'
wrong format for entry ZDB-GENE-980526-221 expected normal/abnormal, found 'ameliorated'
wrong format for entry ZDB-GENE-980526-221 expected normal/abnormal, found 'ameliorated'
wrong format for entry ZDB-GENE-980526-221 expected normal/abnormal, found 'ameliorated'
wrong format for entry ZDB-GENE-980526-221 expected normal/abnormal, found 'ameliorated'
wrong format for entry ZDB-GENE-980526-221 expected normal/abnormal, found 'ameliorated'
wrong format for entry ZDB-GENE-980526-221 expected normal/abnormal, found 'ameliorated'
wrong format for entry ZDB-GENE-980526-221 expected normal/abnormal, found 'ameliorated'
wrong format for entry ZDB-GENE-980526-221 expected normal/abnormal, found 'ameliorated'
wrong format for entry ZDB-GENE-980526-221 expected normal/abnormal, found 'ameliorated'
wrong format for entry ZDB-GENE-980526-221 expected normal/abnormal, found 'ameliorated'
wrong format for entry ZDB-GENE-980526-221 expected normal/abnormal, found 'ameliorated'
wrong format for entry ZDB-GENE-980526-221 expected normal/abnormal, found 'ameliorated'
wrong format for entry ZDB-GENE-980526-221 expected normal/abnormal, found 'ameliorated'
wrong format for entry ZDB-GENE-980526-221 expected normal/abnormal, found 'ameliorated'
wrong format for entry ZDB-GENE-980526-221 expected normal/abnormal, found 'ameliorated'
wrong format for entry ZDB-GENE-980526-221 expected normal/abnormal, found 'ameliorated'
wrong format for entry ZDB-GENE-040429-2 expected normal/abnormal, found 'ameliorated'
wrong format for entry ZDB-GENE-040429-2 expected normal/abnormal, found 'ameliorated'
wrong format for entry ZDB-GENE-030131-4714 expected normal/abnormal, found 'ameliorated'
wrong format for entry ZDB-GENE-030131-4714 expected normal/abnormal, found 'ameliorated'
wrong format for entry ZDB-GENE-030131-4714 expected normal/abnormal, found 'ameliorated'
wrong format for entry ZDB-GENE-040426-1315 expected normal/abnormal, found 'ameliorated'
wrong format for entry ZDB-GENE-050114-2 expected normal/abnormal, found 'ameliorated'
wrong format for entry ZDB-GENE-050114-2 expected normal/abnormal, found 'ameliorated'
wrong format for entry ZDB-GENE-050114-2 expected normal/abnormal, found 'ameliorated'
wrong format for entry ZDB-GENE-050114-2 expected normal/abnormal, found 'ameliorated'
wrong format for entry ZDB-GENE-050114-2 expected normal/abnormal, found 'ameliorated'
wrong format for entry ZDB-GENE-050114-2 expected normal/abnormal, found 'ameliorated'
wrong format for entry ZDB-GENE-050114-2 expected normal/abnormal, found 'ameliorated'
wrong format for entry ZDB-GENE-050114-2 expected normal/abnormal, found 'ameliorated'
wrong format for entry ZDB-GENE-050531-1 expected normal/abnormal, found 'ameliorated'
wrong format for entry ZDB-GENE-050531-1 expected normal/abnormal, found 'ameliorated'
wrong format for entry ZDB-GENE-040625-147 expected normal/abnormal, found 'ameliorated'
wrong format for entry ZDB-GENE-040625-147 expected normal/abnormal, found 'ameliorated'
wrong format for entry ZDB-GENE-040625-147 expected normal/abnormal, found 'ameliorated'
wrong format for entry ZDB-GENE-040625-147 expected normal/abnormal, found 'ameliorated'
wrong format for entry ZDB-GENE-040625-147 expected normal/abnormal, found 'ameliorated'
wrong format for entry ZDB-GENE-040625-147 expected normal/abnormal, found 'ameliorated'
wrong format for entry ZDB-GENE-040625-147 expected normal/abnormal, found 'ameliorated'
wrong format for entry ZDB-GENE-980526-68 expected normal/abnormal, found 'exacerbated'
wrong format for entry ZDB-GENE-980526-68 expected normal/abnormal, found 'exacerbated'
wrong format for entry ZDB-GENE-980526-68 expected normal/abnormal, found 'exacerbated'
wrong format for entry ZDB-GENE-031002-48 expected normal/abnormal, found 'ameliorated'
wrong format for entry ZDB-GENE-030818-1 expected normal/abnormal, found 'ameliorated'
wrong format for entry ZDB-GENE-030818-1 expected normal/abnormal, found 'ameliorated'
wrong format for entry ZDB-GENE-030818-1 expected normal/abnormal, found 'ameliorated'
wrong format for entry ZDB-FISH-150901-10967 expected normal/abnormal, found 'ameliorated'
wrong format for entry ZDB-FISH-150901-10967 expected normal/abnormal, found 'ameliorated'
wrong format for entry ZDB-FISH-150901-11742 expected normal/abnormal, found 'ameliorated'
wrong format for entry ZDB-FISH-150901-11742 expected normal/abnormal, found 'ameliorated'
wrong format for entry ZDB-FISH-150901-11742 expected normal/abnormal, found 'ameliorated'
wrong format for entry ZDB-FISH-150901-12102 expected normal/abnormal, found 'ameliorated'
wrong format for entry ZDB-FISH-150901-12102 expected normal/abnormal, found 'ameliorated'
wrong format for entry ZDB-FISH-150901-12164 expected normal/abnormal, found 'ameliorated'
wrong format for entry ZDB-FISH-150901-12164 expected normal/abnormal, found 'ameliorated'
wrong format for entry ZDB-FISH-150901-12164 expected normal/abnormal, found 'ameliorated'
wrong format for entry ZDB-FISH-150901-12164 expected normal/abnormal, found 'ameliorated'
wrong format for entry ZDB-FISH-150901-12164 expected normal/abnormal, found 'ameliorated'
wrong format for entry ZDB-FISH-150901-12164 expected normal/abnormal, found 'ameliorated'
wrong format for entry ZDB-FISH-150901-12164 expected normal/abnormal, found 'ameliorated'
wrong format for entry ZDB-FISH-150901-1242 expected normal/abnormal, found 'ameliorated'
wrong format for entry ZDB-FISH-150901-12774 expected normal/abnormal, found 'ameliorated'
wrong format for entry ZDB-FISH-150901-12774 expected normal/abnormal, found 'ameliorated'
wrong format for entry ZDB-FISH-150901-12774 expected normal/abnormal, found 'ameliorated'
wrong format for entry ZDB-FISH-150901-12774 expected normal/abnormal, found 'ameliorated'
wrong format for entry ZDB-FISH-150901-12774 expected normal/abnormal, found 'ameliorated'
wrong format for entry ZDB-FISH-150901-12774 expected normal/abnormal, found 'ameliorated'
wrong format for entry ZDB-FISH-150901-12774 expected normal/abnormal, found 'ameliorated'
wrong format for entry ZDB-FISH-150901-12778 expected normal/abnormal, found 'ameliorated'
wrong format for entry ZDB-FISH-150901-12778 expected normal/abnormal, found 'ameliorated'
wrong format for entry ZDB-FISH-150901-12778 expected normal/abnormal, found 'ameliorated'
wrong format for entry ZDB-FISH-150901-12778 expected normal/abnormal, found 'ameliorated'
wrong format for entry ZDB-FISH-150901-12945 expected normal/abnormal, found 'ameliorated'
wrong format for entry ZDB-FISH-150901-12945 expected normal/abnormal, found 'ameliorated'
wrong format for entry ZDB-FISH-150901-12945 expected normal/abnormal, found 'ameliorated'
wrong format for entry ZDB-FISH-150901-12945 expected normal/abnormal, found 'ameliorated'
wrong format for entry ZDB-FISH-150901-12945 expected normal/abnormal, found 'ameliorated'
wrong format for entry ZDB-FISH-150901-13865 expected normal/abnormal, found 'ameliorated'
wrong format for entry ZDB-FISH-150901-13865 expected normal/abnormal, found 'ameliorated'
wrong format for entry ZDB-FISH-150901-13865 expected normal/abnormal, found 'ameliorated'
wrong format for entry ZDB-FISH-150901-13939 expected normal/abnormal, found 'ameliorated'
wrong format for entry ZDB-FISH-150901-13939 expected normal/abnormal, found 'ameliorated'
wrong format for entry ZDB-FISH-150901-13939 expected normal/abnormal, found 'ameliorated'
wrong format for entry ZDB-FISH-150901-13939 expected normal/abnormal, found 'ameliorated'
wrong format for entry ZDB-FISH-150901-13939 expected normal/abnormal, found 'ameliorated'
wrong format for entry ZDB-FISH-150901-13939 expected normal/abnormal, found 'ameliorated'
wrong format for entry ZDB-FISH-150901-13939 expected normal/abnormal, found 'ameliorated'
wrong format for entry ZDB-FISH-150901-13939 expected normal/abnormal, found 'ameliorated'
wrong format for entry ZDB-FISH-150901-14025 expected normal/abnormal, found 'ameliorated'
